TÍTULO DA TABELA,TÍTULO DA NOTA,LINK,DATA DE PUBLICAÇÃO,HORÁRIO DE PUBLICAÇÃO,DATA DE ATUALIZAÇÃO,HORÁRIO DE ATUALIZAÇÃO,ANO,MÊS,NÚMERO DA NOTA,CATEGORIA
Notas à Imprensa - Itamaraty,Atentado em Ancara,https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/atentadosancara,14/03/2016,14h03,14/03/2016,15h59,2016,Março,N/A,Sem categoria
Notas à Imprensa - Itamaraty,Atentado na Côte d'Ivoire,https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/atentcote,14/03/2016,13h58,14/03/2016,16h01,2016,Março,N/A,Sem categoria
Notas à Imprensa - Itamaraty,Eleição do novo Secretário-Geral da  Liga dos Estados Árabes,https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/eleicao-do-novo-secretario-geral-da-liga-dos-estados-arabes,11/03/2016,22h36,Data não disponível,Horário não disponível,2016,Março,N/A,Sem categoria
Notas à Imprensa - Itamaraty,"Sessão Especial da Assembleia Geral das Nações Unidas sobre o Problema Mundial das Drogas e  Cerimônia de Alto Nível de Assinatura do Acordo de Paris sobre Mudança do Clima – Nova York, 19 a 22 de abril de 2016 – Credenciamento de imprensa",https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/credenciamentoungassacparis2016,11/03/2016,19h39,14/03/2016,17h51,2016,Março,N/A,Sem categoria
Notas à Imprensa - Itamaraty,Ataque contra ônibus em Jerusalém Ocidental,https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/ataque-contra-onibus-em-jerusalem-ocidental,19/04/2016,22h20,20/04/2016,15h59,2016,Abril,N/A,Sem categoria
Notas à Imprensa - Itamaraty,Atentado no Afeganistão,https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/atentado-no-afeganistao,19/04/2016,22h15,13/05/2016,17h07,2016,Abril,N/A,Sem categoria
Notas à Imprensa - Itamaraty,Eleição de Sebastião Salgado à Academia de Belas Artes da França,https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/eleicao-de-sebastiao-salgado-a-academia-de-belas-artes-da-franca,19/04/2016,19h34,13/06/2016,17h28,2016,Abril,N/A,Sem categoria
Notas à Imprensa - Itamaraty,"X Reunião de Alto Nível da Nova Agenda de Cooperação e Desenvolvimento Fronteiriço Brasil-Uruguai – Brasília, 18 e 19 de abril de 2016",https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/x-reuniao-de-alto-nivel-da-nova-agenda-de-cooperacao-e-desenvolvimento-fronteirico-brasil-uruguai-brasilia-18-e-19-de-abril-de-2016,18/04/2016,17h14,20/04/2016,16h02,2016,Abril,N/A,Sem categoria
Notas à Imprensa - Itamaraty,"Bicentenário da Independência da República do Paraguai – Assunção, 14 e 15 de maio de 2011 – Lista de hotéis",https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/bicentenario-da-independencia-da-republica-do-paraguai-assuncao-14-e-15-de-maio-de-2011-lista-de-hoteis,18/04/2016,15h41,31/10/2022,17h27,2016,Abril,N/A,Sem categoria
Notas à Imprensa - Itamaraty,Terremoto no Equador,https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/terremoto-no-equador,18/04/2016,14h34,18/04/2016,18h53,2016,Abril,N/A,Sem categoria
